 2016-04-29 10:58:44,140 [P129404/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PIL
 2016-04-29 10:58:44,375 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-04-29 10:58:44,404 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 28ms)
 2016-04-29 10:58:44,648 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-04-29 10:58:45,300 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 651ms)
 2016-04-29 10:58:45,825 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-04-29 10:58:45,829 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
 2016-04-29 10:58:45,830 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-04-29 10:58:45,835 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 4ms)
 2016-04-29 10:58:45,905 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-04-29 10:58:45,911 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2016-04-29 10:58:45,916 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-04-29 10:58:45,951 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 35ms)
 2016-04-29 10:58:46,528 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-04-29 10:58:46,530 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2016-04-29 10:58:46,532 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-04-29 10:58:46,534 [P129404/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2016-04-29 10:58:50,479 [P129404/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-29 10:58:51,344 [P129404/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-29 10:58:51,393 [P129404/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-29 10:58:51,664 [P129404/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-04-29 10:58:51,957 [P129404/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
